Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_17_97,VPWR,li1,51.9800,57.1200,1.799974
FILLER_17_85,VPWR,li1,47.3800,57.1200,1.799974
FILLER_17_82,VPWR,li1,43.7000,57.1200,1.799975
FILLER_17_70,VPWR,li1,40.4800,57.1200,1.799975
FILLER_17_55,VPWR,li1,31.0500,57.1200,1.799980
FILLER_17_49,VPWR,li1,28.7500,57.1200,1.799981
FILLER_17_44,VPWR,li1,25.9900,57.1200,1.799983
FILLER_17_36,VPWR,li1,23.9200,57.1200,1.799985
FILLER_17_29,VPWR,li1,19.3200,57.1200,1.799987
FILLER_17_27,VPWR,li1,18.1700,57.1200,1.799987
FILLER_17_23,VPWR,li1,16.3300,57.1200,1.799987
FILLER_17_15,VPWR,li1,14.2600,57.1200,1.799986
FILLER_17_3,VPWR,li1,9.6600,57.1200,1.799986
FILLER_16_100,VPWR,li1,51.7500,57.1200,1.799974
FILLER_16_85,VPWR,li1,47.3800,57.1200,1.799974
FILLER_16_82,VPWR,li1,43.7000,57.1200,1.799975
FILLER_16_59,VPWR,li1,33.3500,57.1200,1.799978
FILLER_16_37,VPWR,li1,23.0000,57.1200,1.799985
FILLER_16_7,VPWR,li1,8.9700,57.1200,1.799986
FILLER_16_3,VPWR,li1,7.8200,57.1200,1.799986
FILLER_15_54,VPWR,li1,30.8200,51.6800,1.799980
FILLER_15_49,VPWR,li1,28.5200,51.6800,1.799982
FILLER_15_15,VPWR,li1,13.3400,51.6800,1.799984
FILLER_15_9,VPWR,li1,10.3500,51.6800,1.799983
FILLER_14_104,VPWR,li1,53.5900,51.6800,1.799970
FILLER_14_96,VPWR,li1,50.1400,51.6800,1.799970
FILLER_14_65,VPWR,li1,36.8000,51.6800,1.799975
FILLER_14_61,VPWR,li1,33.8100,51.6800,1.799977
FILLER_14_53,VPWR,li1,31.7400,51.6800,1.799979
FILLER_14_41,VPWR,li1,27.1400,51.6800,1.799982
FILLER_13_103,VPWR,li1,53.3600,46.2400,1.799984
FILLER_13_93,VPWR,li1,48.5300,46.2400,1.799985
FILLER_13_89,VPWR,li1,47.3800,46.2400,1.799985
FILLER_13_77,VPWR,li1,43.7000,46.2400,1.799986
FILLER_13_73,VPWR,li1,39.3300,46.2400,1.799987
FILLER_13_69,VPWR,li1,38.1800,46.2400,1.799988
FILLER_13_57,VPWR,li1,34.5000,46.2400,1.799989
