Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_17_107,VPWR,li1,54.9700,57.1200,1.799992
FILLER_17_103,VPWR,li1,53.8200,57.1200,1.799992
FILLER_17_91,VPWR,li1,50.1400,57.1200,1.799992
FILLER_17_85,VPWR,li1,45.0800,57.1200,1.799992
FILLER_17_67,VPWR,li1,36.8000,57.1200,1.799992
FILLER_17_54,VPWR,li1,30.8200,57.1200,1.799993
FILLER_17_43,VPWR,li1,25.7600,57.1200,1.799994
FILLER_17_29,VPWR,li1,19.3200,57.1200,1.799994
FILLER_17_27,VPWR,li1,18.1700,57.1200,1.799994
FILLER_17_15,VPWR,li1,15.1800,57.1200,1.799994
FILLER_17_3,VPWR,li1,9.6600,57.1200,1.799994
FILLER_16_105,VPWR,li1,54.5100,57.1200,1.799992
FILLER_16_93,VPWR,li1,51.0600,57.1200,1.799992
FILLER_16_54,VPWR,li1,30.8200,57.1200,1.799993
FILLER_16_18,VPWR,li1,14.2600,57.1200,1.799994
FILLER_16_6,VPWR,li1,11.0400,57.1200,1.799994
FILLER_15_100,VPWR,li1,51.7500,51.6800,1.799922
FILLER_15_88,VPWR,li1,48.7600,51.6800,1.799922
FILLER_15_34,VPWR,li1,21.3900,51.6800,1.799968
FILLER_15_23,VPWR,li1,16.3300,51.6800,1.799967
FILLER_14_103,VPWR,li1,53.3600,51.6800,1.799922
FILLER_14_85,VPWR,li1,45.0800,51.6800,1.799924
FILLER_14_83,VPWR,li1,43.9300,51.6800,1.799924
FILLER_14_79,VPWR,li1,42.7800,51.6800,1.799924
FILLER_14_41,VPWR,li1,25.3000,51.6800,1.799954
FILLER_14_27,VPWR,li1,18.1700,51.6800,1.799967
FILLER_14_19,VPWR,li1,16.1000,51.6800,1.799967
FILLER_14_3,VPWR,li1,7.1300,51.6800,1.799965
FILLER_13_106,VPWR,li1,54.7400,46.2400,1.799978
FILLER_13_81,VPWR,li1,43.2400,46.2400,1.799981
FILLER_13_73,VPWR,li1,40.9400,46.2400,1.799982
FILLER_13_54,VPWR,li1,30.8200,46.2400,1.799986
FILLER_13_46,VPWR,li1,28.5200,46.2400,1.799987
FILLER_13_34,VPWR,li1,23.9200,46.2400,1.799990
FILLER_13_26,VPWR,li1,18.1700,46.2400,1.799990
FILLER_13_18,VPWR,li1,15.6400,46.2400,1.799989
FILLER_13_6,VPWR,li1,11.0400,46.2400,1.799988
FILLER_12_85,VPWR,li1,44.8500,46.2400,1.799981
FILLER_12_68,VPWR,li1,39.5600,46.2400,1.799982
FILLER_12_55,VPWR,li1,32.6600,46.2400,1.799985
FILLER_12_43,VPWR,li1,28.0600,46.2400,1.799987
