Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_24_145,VPWR,li1,72.4500,78.8800,1.799991
FILLER_24_141,VPWR,li1,71.3000,78.8800,1.799991
FILLER_24_137,VPWR,li1,69.2300,78.8800,1.799991
FILLER_24_125,VPWR,li1,65.7800,78.8800,1.799991
FILLER_24_113,VPWR,li1,60.2600,78.8800,1.799991
FILLER_24_97,VPWR,li1,50.8300,78.8800,1.799991
FILLER_24_91,VPWR,li1,48.0700,78.8800,1.799991
FILLER_24_85,VPWR,li1,45.0800,78.8800,1.799992
FILLER_24_77,VPWR,li1,41.6300,78.8800,1.799992
FILLER_24_70,VPWR,li1,38.4100,78.8800,1.799992
FILLER_24_65,VPWR,li1,35.6500,78.8800,1.799993
FILLER_24_57,VPWR,li1,33.5800,78.8800,1.799994
FILLER_24_55,VPWR,li1,31.0500,78.8800,1.799994
FILLER_24_49,VPWR,li1,28.7500,78.8800,1.799995
FILLER_24_41,VPWR,li1,25.3000,78.8800,1.799996
FILLER_24_34,VPWR,li1,22.0800,78.8800,1.799997
FILLER_24_29,VPWR,li1,19.3200,78.8800,1.799997
FILLER_24_27,VPWR,li1,18.1700,78.8800,1.799997
FILLER_24_15,VPWR,li1,15.1800,78.8800,1.799997
FILLER_24_3,VPWR,li1,9.6600,78.8800,1.799997
FILLER_23_143,VPWR,li1,71.9900,73.4400,1.799940
FILLER_23_131,VPWR,li1,68.5400,73.4400,1.799940
FILLER_23_113,VPWR,li1,58.4200,73.4400,1.799942
FILLER_23_97,VPWR,li1,50.3700,73.4400,1.799948
FILLER_23_91,VPWR,li1,48.7600,73.4400,1.799948
FILLER_23_79,VPWR,li1,44.6200,73.4400,1.799952
FILLER_23_57,VPWR,li1,32.2000,73.4400,1.799966
FILLER_23_48,VPWR,li1,29.4400,73.4400,1.799970
FILLER_23_15,VPWR,li1,13.1100,73.4400,1.799978
FILLER_23_3,VPWR,li1,9.6600,73.4400,1.799978
FILLER_22_141,VPWR,li1,70.6100,73.4400,1.799940
FILLER_22_85,VPWR,li1,44.8500,73.4400,1.799952
FILLER_22_55,VPWR,li1,31.7400,73.4400,1.799966
FILLER_22_45,VPWR,li1,26.4500,73.4400,1.799974
FILLER_22_11,VPWR,li1,10.8100,73.4400,1.799978
FILLER_22_3,VPWR,li1,8.7400,73.4400,1.799978
FILLER_21_143,VPWR,li1,71.9900,68.0000,1.799947
FILLER_21_125,VPWR,li1,63.4800,68.0000,1.799948
FILLER_21_110,VPWR,li1,56.5800,68.0000,1.799951
FILLER_21_101,VPWR,li1,52.4400,68.0000,1.799952
FILLER_21_85,VPWR,li1,44.8500,68.0000,1.799957
FILLER_21_55,VPWR,li1,31.0500,68.0000,1.799968
FILLER_21_14,VPWR,li1,12.6500,68.0000,1.799981
FILLER_21_6,VPWR,li1,10.1200,68.0000,1.799981
FILLER_20_141,VPWR,li1,70.6100,68.0000,1.799947
FILLER_20_128,VPWR,li1,64.6300,68.0000,1.799948
FILLER_20_124,VPWR,li1,63.4800,68.0000,1.799948
FILLER_20_117,VPWR,li1,59.5700,68.0000,1.799950
FILLER_20_102,VPWR,li1,52.9000,68.0000,1.799952
FILLER_20_85,VPWR,li1,44.8500,68.0000,1.799957
FILLER_20_81,VPWR,li1,43.4700,68.0000,1.799958
FILLER_20_72,VPWR,li1,38.8700,68.0000,1.799961
FILLER_20_29,VPWR,li1,19.0900,68.0000,1.799981
FILLER_20_16,VPWR,li1,15.6400,68.0000,1.799981
FILLER_20_6,VPWR,li1,9.6600,68.0000,1.799981
FILLER_19_143,VPWR,li1,71.9900,62.5600,1.799834
FILLER_19_125,VPWR,li1,63.4800,62.5600,1.799836
FILLER_19_118,VPWR,li1,60.0300,62.5600,1.799838
FILLER_19_105,VPWR,li1,54.5100,62.5600,1.799841
FILLER_19_97,VPWR,li1,50.8300,62.5600,1.799847
FILLER_19_89,VPWR,li1,48.3000,62.5600,1.799854
FILLER_19_77,VPWR,li1,43.7000,62.5600,1.799864
FILLER_19_50,VPWR,li1,28.7500,62.5600,1.799918
FILLER_19_35,VPWR,li1,21.8500,62.5600,1.799949
FILLER_19_27,VPWR,li1,19.7800,62.5600,1.799948
FILLER_19_14,VPWR,li1,12.6500,62.5600,1.799946
FILLER_18_141,VPWR,li1,70.6100,62.5600,1.799834
FILLER_18_134,VPWR,li1,68.5400,62.5600,1.799834
FILLER_18_89,VPWR,li1,46.6900,62.5600,1.799860
FILLER_18_85,VPWR,li1,45.5400,62.5600,1.799860
FILLER_18_82,VPWR,li1,43.7000,62.5600,1.799864
FILLER_18_74,VPWR,li1,41.4000,62.5600,1.799874
FILLER_18_62,VPWR,li1,36.8000,62.5600,1.799882
FILLER_18_47,VPWR,li1,28.0600,62.5600,1.799918
FILLER_18_41,VPWR,li1,24.6100,62.5600,1.799938
FILLER_18_29,VPWR,li1,21.6200,62.5600,1.799949
FILLER_18_3,VPWR,li1,7.5900,62.5600,1.799946
FILLER_17_143,VPWR,li1,71.9900,57.1200,1.799979
FILLER_17_113,VPWR,li1,59.3400,57.1200,1.799981
FILLER_17_111,VPWR,li1,56.8100,57.1200,1.799982
FILLER_17_105,VPWR,li1,55.2000,57.1200,1.799982
FILLER_17_93,VPWR,li1,51.0600,57.1200,1.799984
FILLER_17_81,VPWR,li1,45.5400,57.1200,1.799985
FILLER_17_69,VPWR,li1,40.0200,57.1200,1.799987
FILLER_17_57,VPWR,li1,34.5000,57.1200,1.799989
FILLER_17_53,VPWR,li1,30.5900,57.1200,1.799990
FILLER_17_45,VPWR,li1,28.0600,57.1200,1.799991
FILLER_17_33,VPWR,li1,23.4600,57.1200,1.799993
FILLER_17_21,VPWR,li1,17.9400,57.1200,1.799992
FILLER_17_11,VPWR,li1,10.8100,57.1200,1.799991
FILLER_17_7,VPWR,li1,9.6600,57.1200,1.799991
FILLER_16_141,VPWR,li1,70.6100,57.1200,1.799979
FILLER_16_136,VPWR,li1,68.3100,57.1200,1.799979
FILLER_16_115,VPWR,li1,58.6500,57.1200,1.799982
FILLER_16_109,VPWR,li1,57.0400,57.1200,1.799982
FILLER_16_97,VPWR,li1,52.9000,57.1200,1.799983
FILLER_16_85,VPWR,li1,47.3800,57.1200,1.799985
FILLER_16_81,VPWR,li1,43.4700,57.1200,1.799986
FILLER_16_73,VPWR,li1,40.9400,57.1200,1.799987
FILLER_16_61,VPWR,li1,36.3400,57.1200,1.799988
FILLER_16_49,VPWR,li1,30.8200,57.1200,1.799990
FILLER_16_37,VPWR,li1,25.3000,57.1200,1.799992
FILLER_16_27,VPWR,li1,18.1700,57.1200,1.799992
FILLER_16_3,VPWR,li1,7.3600,57.1200,1.799991
FILLER_15_142,VPWR,li1,71.0700,51.6800,1.799961
FILLER_15_113,VPWR,li1,57.7300,51.6800,1.799963
FILLER_15_111,VPWR,li1,56.8100,51.6800,1.799964
FILLER_15_105,VPWR,li1,55.2000,51.6800,1.799964
FILLER_15_93,VPWR,li1,51.0600,51.6800,1.799966
FILLER_15_81,VPWR,li1,45.5400,51.6800,1.799970
FILLER_15_69,VPWR,li1,40.0200,51.6800,1.799974
FILLER_15_57,VPWR,li1,34.5000,51.6800,1.799978
FILLER_15_52,VPWR,li1,30.3600,51.6800,1.799980
FILLER_15_40,VPWR,li1,26.6800,51.6800,1.799984
FILLER_15_6,VPWR,li1,8.7400,51.6800,1.799985
FILLER_14_141,VPWR,li1,70.6100,51.6800,1.799961
FILLER_14_139,VPWR,li1,69.6900,51.6800,1.799961
FILLER_14_93,VPWR,li1,48.9900,51.6800,1.799968
FILLER_14_85,VPWR,li1,46.4600,51.6800,1.799970
